region;spp_name;latin_name;rfmo;rfmo_stock_id;x3a_code;worms_aphia_id;fides_area;area;area_bis;tac_area_description;comments;latin_name_join;area_rdb;include_in_table_2.1;comments_dev;area_rdbes
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;NA;PLE;127143;56-14;5b, 6, 12, 14;27_5_B,27_6,27_12,27_14;;FIDES match;Pleuronectes platessa;27.5.b,27.5.b.1,27.5.b.2,27.5.b.1.a,27.5.b.1.b,27.6,27.6.a,27.6.b,27.6.a.n,27.6.a.s,27.6.b.1,27.6.b.2,27.12,27.12.a,27.12.b,27.12.c,27.12.a.1,27.12.a.2,27.12.a.3,27.12.a.4,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2;yes;;27.5.b,27.5.b.1,27.5.b.1.a,27.5.b.1.b,27.5.b.2,27.6,27.6.a,27.6.b,27.6.b.1,27.6.b.2,27.12,27.12.a,27.12.a.1,27.12.a.2,27.12.a.3,27.12.a.4,27.12.b,27.12.c,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;NA;PLE;127143;07A.;7a;27_7_A;ICES division VIIa - Irish Sea;FIDES match;Pleuronectes platessa;27.7.a;yes;;27.7.a
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;NA;PLE;127143;7BC.;7bc;27_7_B,27_7_C;VIIbc ;FIDES match;Pleuronectes platessa;27.7.b,27.7.c,27.7.c.1,27.7.c.2;yes;;27.7.b,27.7.c,27.7.c.1,27.7.c.2
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;NA;PLE;127143;7DE.;7e;27_7_E;VIIde;FIDES match but difference with area;Pleuronectes platessa;27.7.e;yes;;27.7.e
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;NA;PLE;127143;7FG.;7fg;27_7_F,27_7_G;VIIfg;FIDES match;Pleuronectes platessa;27.7.f,27.7.g;yes;;27.7.f,27.7.g
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;NA;PLE;127143;7HJK.;7h-k;27_7_H,27_7_J,27_7_K;VIIhjk;FIDES match;Pleuronectes platessa;27.7.h,27.7.j,27.7.j.1,27.7.j.2,27.7.k,27.7.k.1,27.7.k.2;yes;;27.7.h,27.7.j,27.7.j.1,27.7.j.2,27.7.k,27.7.k.1,27.7.k.2
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;NA;PLE;127143;ao�t-11;8, 9, 10;27_8,27_9,27_10;VIII, IX, X, COPACE 34.1.1 (1);FIDES match;Pleuronectes platessa;27.8,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.8.d.1,27.8.d.2,27.8.e.1,27.8.e.2,27.9,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.b,27.10.b.1,27.10.b.2,27.10.a,27.10.a.1,27.10.a.2;yes;;27.8,27.8.a,27.8.b,27.8.c,27.8.d,27.8.d.1,27.8.d.2,27.8.e,27.8.e.1,27.8.e.2,27.9,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.a.1,27.10.a.2,27.10.b
North-East Atlantic;Pollack;Pollachius pollachius;ICES;NA;POL;126440;56-14;5b, 6, 12, 14;27_5_B,27_6,27_12,27_14;;FIDES match;Pollachius pollachius;27.5.b,27.5.b.1,27.5.b.2,27.5.b.1.a,27.5.b.1.b,27.6,27.6.a,27.6.b,27.6.a.n,27.6.a.s,27.6.b.1,27.6.b.2,27.12,27.12.a,27.12.b,27.12.c,27.12.a.1,27.12.a.2,27.12.a.3,27.12.a.4,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2;yes;;27.5.b,27.5.b.1,27.5.b.1.a,27.5.b.1.b,27.5.b.2,27.6,27.6.a,27.6.b,27.6.b.1,27.6.b.2,27.12,27.12.a,27.12.a.1,27.12.a.2,27.12.a.3,27.12.a.4,27.12.b,27.12.c,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2
North-East Atlantic;Pollack;Pollachius pollachius;ICES;NA;POL;126440;07.;7;27_7;;FIDES match;Pollachius pollachius;27.7,27.7.a,27.7.b,27.7.c,27.7.d,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.7.c.1,27.7.c.2,27.7.j.1,27.7.j.2,27.7.k.1,27.7.k.2;yes;;27.7,27.7.a,27.7.b,27.7.c,27.7.c.1,27.7.c.2,27.7.d,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.j.1,27.7.j.2,27.7.k,27.7.k.1,27.7.k.2
North-East Atlantic;Pollack;Pollachius pollachius;ICES;NA;POL;126440;8ABDE.;8abde;27_8_A,27_8_B,27_8_D,27_8_E;;FIDES match;Pollachius pollachius;27.8.a,27.8.b,27.8.d,27.8.d.1,27.8.d.2,27.8.e,27.8.e.1,27.8.e.2;yes;;27.8.a,27.8.b,27.8.d,27.8.d.1,27.8.d.2,27.8.e,27.8.e.1,27.8.e.2
