"","specie_name","specie_code"
"177","Rasbora argyrotaenia","1021906"
"178","Rasbora einthovenii","1026704"
"179","Rasbora elegans","1018679"
"180","Rasbora tawarensis","1017128"
"181","Thynnichthys sandkhol","1022519"
"182","Thynnichthys thynnoides","1015067"
"183","Thynnichthys vaillanti","1017127"
"184","Tor tambroides","1021640"
"185","Tor putitora","1026593"
"186","Tor tor","1026602"
"187","Tor khudree","1026321"
"188","Tor douronensis","1022221"
"189","Tor soro","1022171"
"190","Tor tambra","1022217"
"191","Barilius barila","1026471"
"192","Barilius barna","1059784"
"193","Barilius bola","1488254"
"194","Barilius shacra","1026597"
"195","Barilius tileo","1534482"
"196","Barilius vagra","1026607"
"197","Barilius bakeri","1020926"
"198","Barilius bendelisis","1011904"
"199","Brachydanio acuticephala","1624496"
"200","Notropis atherinoides","567536"
"201","Notropis bairdi","1015952"
"202","Notropis boops","1019858"
"203","Notropis dorsalis","1017717"
"204","Notropis girardi","1015954"
"205","Notropis heterodon","1420801"
"206","Notropis heterolepis","1017934"
"207","Notropis hudsonius","567537"
"208","Notropis longirostris","1060178"
"209","Notropis lutipinnis","1060173"
"210","Notropis nubilus","1423125"
"211","Notropis rubellus","1020944"
"212","Notropis rupestris","1011677"
"213","Notropis signipinnis","1528986"
"214","Notropis stramineus","1020955"
"215","Notropis texanus","1019547"
"216","Notropis volucellus","1026690"
"217","Hemibarbus labeo","1015524"
"218","Hemibarbus maculatus","1014993"
"219","Rohtee ogilbii","1022448"
"220","Amblypharyngodon microlepis","1021679"
"221","Amblypharyngodon mola","1012854"
"222","Amblypharyngodon melettinus","1012593"
"223","Rastrineobola argentea","1018661"
"224","Acanthobrama lissneri","1013097"
"225","Acanthobrama terraesanctae","237880"
"226","Pimephales promelas","567543"
"227","Hesperoleucus symmetricus","1017387"
"228","Parabramis pekinensis","1013562"
"229","Squaliobarbus curriculus","1026703"
"230","Culter alburnus","1021471"
"231","Zacco platypus","1026712"
"232","Zacco taliensis","1018296"
"233","Anaecypris hispanica","1020904"
"234","Garra dembeensis","1022598"
"235","Garra ghorensis","1524184"
"236","Garra gotyla","1026576"
"237","Garra lamta","1026584"
"238","Garra mullya","1026398"
"239","Garra rufa","1312572"
"240","Garra tibanica","1014756"
"241","Opsariichthys bidens","1007712"
"242","Pseudogobio esocinus","1022002"
"243","Rhinichthys atratulus","-999"
"244","Rhinichthys cataractae","567547"
"245","Rhinichthys osculus","592846"
"246","Nocomis biguttatus","1021410"
"247","Nocomis leptocephalus","1328672"
"248","Nocomis micropogon","1020930"
"249","Cyprinella alvarezdelvillari","1010963"
"250","Cyprinella analostana","1021263"
"251","Cyprinella callistia","1422294"
"252","Cyprinella camura","1425023"
"253","Cyprinella lutrensis","1026708"
"254","Cyprinella proserpina","1419447"
"255","Cyprinella spiloptera","1020798"
"256","Cyprinella venusta","1016054"
"257","Acheilognathus limbatus","1623050"
"258","Acheilognathus melanogaster","279487"
"259","Acheilognathus rhombeus","1022001"
"260","Acheilognathus tabira","1017240"
"261","Aphyocypris chinensis","1020685"
"262","Hybognathus placitus","1015723"
"263","Chelaethiops bibie","1022597"
"264","Dionda diaboli","1013950"
"265","Dionda episcopa","1021387"
"266","Aspiolucius esocinus","1020429"
"267","Vimba vimba","283150"
"268","Vimba melanops","1022564"
"269","Couesius plumbeus","567529"
"270","Semotilus atromaculatus","590495"
"271","Pelecus cultratus","282185"
"272","Sarcocheilichthys nigripinnis","1016343"
"273","Typhlogarra widdowsoni","1528662"
"274","Tanichthys albonubes","1014958"
"275","Campostoma anomalum","1022825"
"276","Campostoma oligolepis","1525381"
"277","Aulopyge huegelii","1059780"
"278","Orthodon microlepidotus","281934"
"279","Lavinia exilicauda","1017386"
"280","Plagopterus argentissimus","1020374"
"281","Iotichthys phlegethontis","1020423"
"282","Phenacobius catostomus","1020183"
"283","Evarra bustamantei","1014041"
"284","Aspius aspius","154290"
"285","Clinostomus elongatus","1020946"
"286","Balantiocheilos melanopterus","1021826"
"287","Moroco steindachneri","1375220"
"288","Mandibularca resinus","1530945"
"289","Chalcalburnus chalcoides","280126"
"290","Chalcalburnus tarichi","1534342"
"291","Acanthorhodeus asmussii","1067130"
"292","Pseudorasbora parva","465541"
"293","Bangana behri","1015229"
"294","Bangana yunnanensis","1012700"
"295","Bangana dero","1026567"
"296","Barbichthys nitidus","1390257"
"297","Barbodes balleroides","1623180"
"298","Barbodes platysoma","1021557"
"299","Leptobarbus hoeveni","1620276"
"300","Acrocheilus alutaceus","592842"
"301","Hemiculter leucisculus","281021"
"302","Barboides gracilis","1013176"
"303","Barbopsis devecchii","1015904"
"304","Tanakia tanago","1017964"
"305","Biwia zezera","1026901"
"306","Pseudaspius leptocephalus","1023018"
"307","Boraras brigittae","1524293"
"308","Caecobarbus geertsii","1016826"
"309","Caecocypris basimi","1012440"
"310","Mylopharyngodon piceus","594789"
"311","Capoeta capoeta","1026485"
"312","Capoeta damascina","862540"
"313","Luxilus chrysocephalus","1016147"
"314","Luxilus cornutus","862600"
"315","Oregonichthys crameri","1018202"
"316","Gnathopogon caerulescens","1018907"
"317","Gnathopogon elongatus","956730"
"318","Megalobrama amblycephala","1014044"
"319","Megalobrama terminalis","1015822"
"320","Mylocheilus caurinus","281605"
"321","Lepidomeda vittata","1020375"
"322","Diptychus maculatus","1012518"
"323","Ptychobarbus conirostris","1012852"
"324","Schizopygopsis pylzovi","1019586"
"325","Tiaroga cobitis","1419387"
"326","Puntius binotatus","1484106"
"327","Puntius amphibius","282514"
"328","Puntius arulius","1537251"
"329","Puntius conchonius","991301"
"330","Puntius filamentosus","282516"
"331","Puntius orphoides","1625032"
"332","Puntius sophore","282518"
"333","Puntius tetrazona","991303"
"334","Puntius ticto","282519"
"335","Puntius lateristriga","1622959"
"336","Puntius puntio","1022797"
"337","Capoetobrama kuschakewitschi","-999"
"338","Carassioides cantonensis","1568329"
"339","Cephalakompsus pachycheilus","1530957"
"340","Chanodichthys dabryi","1020571"
"341","Chanodichthys erythropterus","1016987"
"342","Chanodichthys mongolicus","1020530"
"343","Coptostomabarbus bellcrossi","1012819"
"344","Coreoleuciscus splendidus","1015267"
"345","Cosmochilus cardinalis","1011938"
"346","Cyprinion watsoni","1013915"
"347","Danionella translucida","1011849"
"348","Discherodontus ashmeadi","1015087"
"349","Distoechodon tumirostris","1016354"
"350","Eirmotus octozona","1010586"
"351","Elopichthys bambusa","1022039"
"352","Engraulicypris sardella","1026366"
"353","Epalzeorhynchos bicolor","1015830"
"354","Epalzeorhynchos kalopterus","1621461"
"355","Eremichthys acros","1014302"
"356","Erimystax dissimilis","1019706"
"357","Esomus danricus","280715"
"358","Eupallasella perenurus","1623352"
"359","Exoglossum maxillingua","1026585"
"360","Gobiobotia brevibarba","1008141"
"361","Gymnocypris biswasi","1527262"
"362","Hemigrammocapoeta kemali","1027013"
"363","Hemigrammocypris lini","1527941"
