"specie_name","specie_code"
"Notropis bairdi","1015952"
"Notropis boops","1019858"
"Notropis dorsalis","1017717"
"Notropis girardi","1015954"
"Notropis heterodon","1420801"
"Notropis heterolepis","1017934"
"Notropis hudsonius","567537"
"Notropis longirostris","1060178"
"Notropis lutipinnis","1060173"
"Notropis nubilus","1423125"
"Notropis rubellus","1020944"
"Notropis rupestris","1011677"
"Notropis signipinnis","1528986"
"Notropis stramineus","1020955"
"Notropis texanus","1019547"
"Notropis volucellus","1026690"
"Hemibarbus labeo","1015524"
"Hemibarbus maculatus","1014993"
"Rohtee ogilbii","1022448"
"Amblypharyngodon microlepis","1021679"
"Amblypharyngodon mola","1012854"
"Amblypharyngodon melettinus","1012593"
"Rastrineobola argentea","1018661"
"Acanthobrama lissneri","1013097"
"Acanthobrama terraesanctae","237880"
"Pimephales promelas","567543"
"Hesperoleucus symmetricus","1017387"
"Parabramis pekinensis","1013562"
"Squaliobarbus curriculus","1026703"
"Culter alburnus","1021471"
"Zacco platypus","1026712"
"Zacco taliensis","1018296"
"Anaecypris hispanica","1020904"
"Garra dembeensis","1022598"
"Garra ghorensis","1524184"
"Garra gotyla","1026576"
"Garra lamta","1026584"
"Garra mullya","1026398"
"Garra rufa","1312572"
"Garra tibanica","1014756"
"Opsariichthys bidens","1007712"
"Pseudogobio esocinus","1022002"
"Rhinichthys atratulus","-999"
"Rhinichthys cataractae","567547"
"Rhinichthys osculus","592846"
"Nocomis biguttatus","1021410"
"Nocomis leptocephalus","1328672"
"Nocomis micropogon","1020930"
"Cyprinella alvarezdelvillari","1010963"
"Cyprinella analostana","1021263"
"Cyprinella callistia","1422294"
"Cyprinella camura","1425023"
"Cyprinella lutrensis","1026708"
"Cyprinella proserpina","1419447"
"Cyprinella spiloptera","1020798"
"Cyprinella venusta","1016054"
"Acheilognathus limbatus","1623050"
"Acheilognathus melanogaster","279487"
"Acheilognathus rhombeus","1022001"
"Acheilognathus tabira","1017240"
"Aphyocypris chinensis","1020685"
"Hybognathus placitus","1015723"
"Chelaethiops bibie","1022597"
"Dionda diaboli","1013950"
"Dionda episcopa","1021387"
"Aspiolucius esocinus","1020429"
"Vimba vimba","283150"
"Vimba melanops","1022564"
"Couesius plumbeus","567529"
"Semotilus atromaculatus","590495"
"Pelecus cultratus","282185"
"Sarcocheilichthys nigripinnis","1016343"
"Typhlogarra widdowsoni","1528662"
"Tanichthys albonubes","1014958"
"Campostoma anomalum","1022825"
"Campostoma oligolepis","1525381"
"Aulopyge huegelii","1059780"
"Orthodon microlepidotus","281934"
"Lavinia exilicauda","1017386"
"Plagopterus argentissimus","1020374"
"Iotichthys phlegethontis","1020423"
"Phenacobius catostomus","1020183"
"Evarra bustamantei","1014041"
"Aspius aspius","154290"
"Clinostomus elongatus","1020946"
"Balantiocheilos melanopterus","1021826"
"Moroco steindachneri","1375220"
"Mandibularca resinus","1530945"
"Chalcalburnus chalcoides","280126"
"Chalcalburnus tarichi","1534342"
"Acanthorhodeus asmussii","1067130"
"Pseudorasbora parva","465541"
"Bangana behri","1015229"
"Bangana yunnanensis","1012700"
"Bangana dero","1026567"
"Barbichthys nitidus","1390257"
"Barbodes balleroides","1623180"
"Barbodes platysoma","1021557"
"Leptobarbus hoeveni","1620276"
"Acrocheilus alutaceus","592842"
"Hemiculter leucisculus","281021"
"Barboides gracilis","1013176"
"Barbopsis devecchii","1015904"
"Tanakia tanago","1017964"
"Biwia zezera","1026901"
"Pseudaspius leptocephalus","1023018"
"Boraras brigittae","1524293"
"Caecobarbus geertsii","1016826"
"Caecocypris basimi","1012440"
"Mylopharyngodon piceus","594789"
"Capoeta capoeta","1026485"
"Capoeta damascina","862540"
"Luxilus chrysocephalus","1016147"
"Luxilus cornutus","862600"
"Oregonichthys crameri","1018202"
"Gnathopogon caerulescens","1018907"
"Gnathopogon elongatus","956730"
"Megalobrama amblycephala","1014044"
